"ensembl_id_original","ensembl_id_clean","gene_symbol","gene_biotype","description","has_symbol","is_protein_coding"
"ENSG00000279928","ENSG00000279928","DDX11L17","transcribed_unprocessed_pseudogene","DEAD/H-box helicase 11 like 17 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:55080]",TRUE,FALSE
"ENSG00000228037","ENSG00000228037","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000142611","ENSG00000142611","PRDM16","protein_coding","PR/SET domain 16 [Source:HGNC Symbol;Acc:HGNC:14000]",TRUE,TRUE
"ENSG00000284616","ENSG00000284616","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000157911","ENSG00000157911","PEX10","protein_coding","peroxisomal biogenesis factor 10 [Source:HGNC Symbol;Acc:HGNC:8851]",TRUE,TRUE
"ENSG00000260972","ENSG00000260972","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000224340","ENSG00000224340","RPL21P21","processed_pseudogene","ribosomal protein L21 pseudogene 21 [Source:HGNC Symbol;Acc:HGNC:35728]",TRUE,FALSE
"ENSG00000226374","ENSG00000226374","LINC01345","lncRNA","long intergenic non-protein coding RNA 1345 [Source:HGNC Symbol;Acc:HGNC:50564]",TRUE,FALSE
"ENSG00000229280","ENSG00000229280","EEF1DP6","processed_pseudogene","eukaryotic translation elongation factor 1 delta pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:51456]",TRUE,FALSE
"ENSG00000142655","ENSG00000142655","PEX14","protein_coding","peroxisomal biogenesis factor 14 [Source:HGNC Symbol;Acc:HGNC:8856]",TRUE,TRUE
"ENSG00000232596","ENSG00000232596","LINC01646","lncRNA","long intergenic non-protein coding RNA 1646 [Source:HGNC Symbol;Acc:HGNC:52433]",TRUE,FALSE
"ENSG00000235054","ENSG00000235054","LINC01777","lncRNA","long intergenic non-protein coding RNA 1777 [Source:HGNC Symbol;Acc:HGNC:52567]",TRUE,FALSE
"ENSG00000231510","ENSG00000231510","LINC02782","lncRNA","long intergenic non-protein coding RNA 2782 [Source:HGNC Symbol;Acc:HGNC:54302]",TRUE,FALSE
"ENSG00000149527","ENSG00000149527","PLCH2","protein_coding","phospholipase C eta 2 [Source:HGNC Symbol;Acc:HGNC:29037]",TRUE,TRUE
"ENSG00000284739","ENSG00000284739","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000171621","ENSG00000171621","SPSB1","protein_coding","splA/ryanodine receptor domain and SOCS box containing 1 [Source:HGNC Symbol;Acc:HGNC:30628]",TRUE,TRUE
"ENSG00000272235","ENSG00000272235","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000284694","ENSG00000284694","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000224387","ENSG00000224387","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000142583","ENSG00000142583","SLC2A5","protein_coding","solute carrier family 2 member 5 [Source:HGNC Symbol;Acc:HGNC:11010]",TRUE,TRUE
"ENSG00000284674","ENSG00000284674","LINC02781","lncRNA","long intergenic non-protein coding RNA 2781 [Source:HGNC Symbol;Acc:HGNC:54301]",TRUE,FALSE
"ENSG00000224338","ENSG00000224338","MTCYBP45","processed_pseudogene","MT-CYB pseudogene 45 [Source:HGNC Symbol;Acc:HGNC:52313]",TRUE,FALSE
"ENSG00000287727","ENSG00000287727","","lncRNA","novel transcript, antisense to PEX14",FALSE,FALSE
"ENSG00000286448","ENSG00000286448","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000284703","ENSG00000284703","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000226457","ENSG00000226457","RPL22P3","processed_pseudogene","ribosomal protein L22 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:36804]",TRUE,FALSE
"ENSG00000173614","ENSG00000173614","NMNAT1","protein_coding","nicotinamide nucleotide adenylyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:17877]",TRUE,TRUE
"ENSG00000215720","ENSG00000215720","MFFP1","processed_pseudogene","MFF pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:54537]",TRUE,FALSE
"ENSG00000241326","ENSG00000241326","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000233623","ENSG00000233623","PGAM1P11","processed_pseudogene","phosphoglycerate mutase 1 pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:42464]",TRUE,FALSE
"ENSG00000204624","ENSG00000204624","DISP3","protein_coding","dispatched RND transporter family member 3 [Source:HGNC Symbol;Acc:HGNC:29251]",TRUE,TRUE
"ENSG00000142606","ENSG00000142606","MMEL1","protein_coding","membrane metalloendopeptidase like 1 [Source:HGNC Symbol;Acc:HGNC:14668]",TRUE,TRUE
"ENSG00000225931","ENSG00000225931","","TEC","novel transcript",FALSE,FALSE
"ENSG00000171729","ENSG00000171729","TMEM51","protein_coding","transmembrane protein 51 [Source:HGNC Symbol;Acc:HGNC:25488]",TRUE,TRUE
"ENSG00000279457","ENSG00000279457","WASH9P","transcribed_unprocessed_pseudogene","WAS protein family homolog 9, pseudogene [Source:HGNC Symbol;Acc:HGNC:53981]",TRUE,FALSE
"ENSG00000229393","ENSG00000229393","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000037637","ENSG00000037637","FBXO42","protein_coding","F-box protein 42 [Source:HGNC Symbol;Acc:HGNC:29249]",TRUE,TRUE
"ENSG00000287586","ENSG00000287586","","lncRNA","novel transcript, antisense to AJAP1",FALSE,FALSE
"ENSG00000159423","ENSG00000159423","ALDH4A1","protein_coding","aldehyde dehydrogenase 4 family member A1 [Source:HGNC Symbol;Acc:HGNC:406]",TRUE,TRUE
"ENSG00000227169","ENSG00000227169","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000283356","ENSG00000283356","","unprocessed_pseudogene","mitochondrially encoded cytochrome c oxidase III (MT-CO3) pseudogene",FALSE,FALSE
"ENSG00000157916","ENSG00000157916","RER1","protein_coding","retention in endoplasmic reticulum sorting receptor 1 [Source:HGNC Symbol;Acc:HGNC:30309]",TRUE,TRUE
"ENSG00000157881","ENSG00000157881","PANK4","protein_coding","pantothenate kinase 4 (inactive) [Source:HGNC Symbol;Acc:HGNC:19366]",TRUE,TRUE
"ENSG00000238290","ENSG00000238290","ERRFI1-DT","lncRNA","ERRFI1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55646]",TRUE,FALSE
"ENSG00000225387","ENSG00000225387","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000048707","ENSG00000048707","VPS13D","protein_coding","vacuolar protein sorting 13 homolog D [Source:HGNC Symbol;Acc:HGNC:23595]",TRUE,TRUE
"ENSG00000225196","ENSG00000225196","RPL10P17","processed_pseudogene","ribosomal protein L10 pseudogene 17 [Source:HGNC Symbol;Acc:HGNC:52348]",TRUE,FALSE
"ENSG00000162444","ENSG00000162444","RBP7","protein_coding","retinol binding protein 7 [Source:HGNC Symbol;Acc:HGNC:30316]",TRUE,TRUE
"ENSG00000279625","ENSG00000279625","","TEC","TEC",FALSE,FALSE
"ENSG00000180758","ENSG00000180758","GPR157","protein_coding","G protein-coupled receptor 157 [Source:HGNC Symbol;Acc:HGNC:23687]",TRUE,TRUE
"ENSG00000184677","ENSG00000184677","ZBTB40","protein_coding","zinc finger and BTB domain containing 40 [Source:HGNC Symbol;Acc:HGNC:29045]",TRUE,TRUE
"ENSG00000288398","ENSG00000288398","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000224621","ENSG00000224621",NA,NA,NA,FALSE,FALSE
"ENSG00000285833","ENSG00000285833","","lncRNA","novel transcript, antisense to DISP3",FALSE,FALSE
"ENSG00000131697","ENSG00000131697","NPHP4","protein_coding","nephrocystin 4 [Source:HGNC Symbol;Acc:HGNC:19104]",TRUE,TRUE
"ENSG00000284692","ENSG00000284692","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000284745","ENSG00000284745","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000280222","ENSG00000280222","","TEC","TEC",FALSE,FALSE
"ENSG00000285945","ENSG00000285945","","lncRNA","novel transcript, antisense to TTC34",FALSE,FALSE
"ENSG00000197921","ENSG00000197921","HES5","protein_coding","hes family bHLH transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:19764]",TRUE,TRUE
"ENSG00000233755","ENSG00000233755","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000233929","ENSG00000233929","MT1XP1","transcribed_processed_pseudogene","metallothionein 1X pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:7442]",TRUE,FALSE
"ENSG00000234166","ENSG00000234166",NA,NA,NA,FALSE,FALSE
"ENSG00000235282","ENSG00000235282","DYNLL1P3","processed_pseudogene","dynein light chain LC8-type 1 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:49654]",TRUE,FALSE
"ENSG00000055070","ENSG00000055070","SZRD1","protein_coding","SUZ RNA binding domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30232]",TRUE,TRUE
"ENSG00000230035","ENSG00000230035","IGSF21-AS1","lncRNA","IGSF21 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41190]",TRUE,FALSE
"ENSG00000225643","ENSG00000225643",NA,NA,NA,FALSE,FALSE
"ENSG00000284666","ENSG00000284666","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000228943","ENSG00000228943","","processed_pseudogene","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4, 9kDa (NDUFA4) pseudogene",FALSE,FALSE
"ENSG00000234397","ENSG00000234397","PPIAP34","processed_pseudogene","peptidylprolyl isomerase A pseudogene 34 [Source:HGNC Symbol;Acc:HGNC:53658]",TRUE,FALSE
"ENSG00000204138","ENSG00000204138","PHACTR4","protein_coding","phosphatase and actin regulator 4 [Source:HGNC Symbol;Acc:HGNC:25793]",TRUE,TRUE
"ENSG00000233419","ENSG00000233419","IFITM3P7","processed_pseudogene","IFITM3 pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:54546]",TRUE,FALSE
"ENSG00000235263","ENSG00000235263","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000228176","ENSG00000228176","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000225011","ENSG00000225011","","unprocessed_pseudogene","protein tyrosine phosphatase, receptor type, U (PTPRU) pseudogene",FALSE,FALSE
"ENSG00000235069","ENSG00000235069","","processed_pseudogene","chromosome 20 open reading frame 52 (C20orf52) pseudogene",FALSE,FALSE
"ENSG00000284676","ENSG00000284676","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000237058","ENSG00000237058","MMEL1-AS1","lncRNA","MMEL1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40695]",TRUE,FALSE
"ENSG00000090020","ENSG00000090020","SLC9A1","protein_coding","solute carrier family 9 member A1 [Source:HGNC Symbol;Acc:HGNC:11071]",TRUE,TRUE
"ENSG00000157978","ENSG00000157978","LDLRAP1","protein_coding","low density lipoprotein receptor adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:18640]",TRUE,TRUE
"ENSG00000158006","ENSG00000158006","PAFAH2","protein_coding","platelet activating factor acetylhydrolase 2 [Source:HGNC Symbol;Acc:HGNC:8579]",TRUE,TRUE
"ENSG00000214812","ENSG00000214812","ARL8BP2","processed_pseudogene","ARL8B pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:56629]",TRUE,FALSE
"ENSG00000196581","ENSG00000196581","AJAP1","protein_coding","adherens junctions associated protein 1 [Source:HGNC Symbol;Acc:HGNC:30801]",TRUE,TRUE
"ENSG00000169403","ENSG00000169403","PTAFR","protein_coding","platelet activating factor receptor [Source:HGNC Symbol;Acc:HGNC:9582]",TRUE,TRUE
"ENSG00000171612","ENSG00000171612","SLC25A33","protein_coding","solute carrier family 25 member 33 [Source:HGNC Symbol;Acc:HGNC:29681]",TRUE,TRUE
"ENSG00000270927","ENSG00000270927","","processed_pseudogene","N(alpha)-acetyltransferase 20, NatB catalytic subunit (NAA20) pseudogene",FALSE,FALSE
"ENSG00000188910","ENSG00000188910","GJB3","protein_coding","gap junction protein beta 3 [Source:HGNC Symbol;Acc:HGNC:4285]",TRUE,TRUE
"ENSG00000230523","ENSG00000230523","LINC01756","lncRNA","long intergenic non-protein coding RNA 1756 [Source:HGNC Symbol;Acc:HGNC:52545]",TRUE,FALSE
"ENSG00000158161","ENSG00000158161","EYA3","protein_coding","EYA transcriptional coactivator and phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:3521]",TRUE,TRUE
"ENSG00000142627","ENSG00000142627","EPHA2","protein_coding","EPH receptor A2 [Source:HGNC Symbol;Acc:HGNC:3386]",TRUE,TRUE
"ENSG00000284668","ENSG00000284668","LINC02780","lncRNA","long intergenic non-protein coding RNA 2780 [Source:HGNC Symbol;Acc:HGNC:54300]",TRUE,FALSE
"ENSG00000233234","ENSG00000233234","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000142632","ENSG00000142632","ARHGEF19","protein_coding","Rho guanine nucleotide exchange factor 19 [Source:HGNC Symbol;Acc:HGNC:26604]",TRUE,TRUE
"ENSG00000234593","ENSG00000234593","KAZN-AS1","lncRNA","KAZN antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:53610]",TRUE,FALSE
"ENSG00000189337","ENSG00000189337","KAZN","protein_coding","kazrin, periplakin interacting protein [Source:HGNC Symbol;Acc:HGNC:29173]",TRUE,TRUE
"ENSG00000225478","ENSG00000225478","","processed_pseudogene","MT-ND1 (MT-ND1) pseudogene",FALSE,FALSE
"ENSG00000028137","ENSG00000028137","TNFRSF1B","protein_coding","TNF receptor superfamily member 1B [Source:HGNC Symbol;Acc:HGNC:11917]",TRUE,TRUE
"ENSG00000204464","ENSG00000204464","TMEM51-AS2","lncRNA","TMEM51 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:32332]",TRUE,FALSE
"ENSG00000283259","ENSG00000283259","","lncRNA","novel transcript, antisense to TTC34",FALSE,FALSE
"ENSG00000130939","ENSG00000130939","UBE4B","protein_coding","ubiquitination factor E4B [Source:HGNC Symbol;Acc:HGNC:12500]",TRUE,TRUE
"ENSG00000175147","ENSG00000175147","TMEM51-AS1","lncRNA","TMEM51 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:26301]",TRUE,FALSE
"ENSG00000127472","ENSG00000127472","PLA2G5","protein_coding","phospholipase A2 group V [Source:HGNC Symbol;Acc:HGNC:9038]",TRUE,TRUE
"ENSG00000060656","ENSG00000060656","PTPRU","protein_coding","protein tyrosine phosphatase receptor type U [Source:HGNC Symbol;Acc:HGNC:9683]",TRUE,TRUE
"ENSG00000163867","ENSG00000163867","ZMYM6","protein_coding","zinc finger MYM-type containing 6 [Source:HGNC Symbol;Acc:HGNC:13050]",TRUE,TRUE
"ENSG00000230214","ENSG00000230214","FTLP18","processed_pseudogene","ferritin light chain pseudogene 18 [Source:HGNC Symbol;Acc:HGNC:37968]",TRUE,FALSE
"ENSG00000189280","ENSG00000189280","GJB5","protein_coding","gap junction protein beta 5 [Source:HGNC Symbol;Acc:HGNC:4287]",TRUE,TRUE
"ENSG00000134698","ENSG00000134698","AGO4","protein_coding","argonaute RISC component 4 [Source:HGNC Symbol;Acc:HGNC:18424]",TRUE,TRUE
"ENSG00000272420","ENSG00000272420","","lncRNA","novel transcript, sense intronic to MORN1",FALSE,FALSE
"ENSG00000132881","ENSG00000132881","CPLANE2","protein_coding","ciliogenesis and planar polarity effector complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:28127]",TRUE,TRUE
"ENSG00000273274","ENSG00000273274","ZBTB8B","protein_coding","zinc finger and BTB domain containing 8B [Source:HGNC Symbol;Acc:HGNC:37057]",TRUE,TRUE
"ENSG00000236648","ENSG00000236648","LINC02810","lncRNA","long intergenic non-protein coding RNA 2810 [Source:HGNC Symbol;Acc:HGNC:54342]",TRUE,FALSE
"ENSG00000232273","ENSG00000232273","FTH1P1","processed_pseudogene","ferritin heavy chain 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:3979]",TRUE,FALSE
"ENSG00000009709","ENSG00000009709","PAX7","protein_coding","paired box 7 [Source:HGNC Symbol;Acc:HGNC:8621]",TRUE,TRUE
"ENSG00000287396","ENSG00000287396","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000130940","ENSG00000130940","CASZ1","protein_coding","castor zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:26002]",TRUE,TRUE
"ENSG00000163879","ENSG00000163879","DNALI1","protein_coding","dynein axonemal light intermediate chain 1 [Source:HGNC Symbol;Acc:HGNC:14353]",TRUE,TRUE
"ENSG00000227527","ENSG00000227527","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000116954","ENSG00000116954","RRAGC","protein_coding","Ras related GTP binding C [Source:HGNC Symbol;Acc:HGNC:19902]",TRUE,TRUE
"ENSG00000228589","ENSG00000228589","SPCS2P4","transcribed_processed_pseudogene","signal peptidase complex subunit 2 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:45237]",TRUE,FALSE
"ENSG00000163873","ENSG00000163873","GRIK3","protein_coding","glutamate ionotropic receptor kainate type subunit 3 [Source:HGNC Symbol;Acc:HGNC:4581]",TRUE,TRUE
"ENSG00000117215","ENSG00000117215","PLA2G2D","protein_coding","phospholipase A2 group IID [Source:HGNC Symbol;Acc:HGNC:9033]",TRUE,TRUE
"ENSG00000230163","ENSG00000230163","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000227538","ENSG00000227538","HNRNPFP1","processed_pseudogene","heterogeneous nuclear ribonucleoprotein F pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:48812]",TRUE,FALSE
"ENSG00000044012","ENSG00000044012","GUCA2B","protein_coding","guanylate cyclase activator 2B [Source:HGNC Symbol;Acc:HGNC:4683]",TRUE,TRUE
"ENSG00000179051","ENSG00000179051","RCC2","protein_coding","regulator of chromosome condensation 2 [Source:HGNC Symbol;Acc:HGNC:30297]",TRUE,TRUE
"ENSG00000215895","ENSG00000215895","HSPA5P1","processed_pseudogene","HSPA5 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:54532]",TRUE,FALSE
"ENSG00000284650","ENSG00000284650","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000236948","ENSG00000236948",NA,NA,NA,FALSE,FALSE
"ENSG00000126067","ENSG00000126067","PSMB2","protein_coding","proteasome 20S subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:9539]",TRUE,TRUE
"ENSG00000274944","ENSG00000274944","","protein_coding","novel protein",FALSE,TRUE
"ENSG00000272078","ENSG00000272078","","lncRNA","novel transcript, antisense to CASZ1",FALSE,FALSE
"ENSG00000230451","ENSG00000230451","RPS29P6","processed_pseudogene","ribosomal protein S29 pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:35718]",TRUE,FALSE
"ENSG00000231606","ENSG00000231606","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000284632","ENSG00000284632","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000054118","ENSG00000054118","THRAP3","protein_coding","thyroid hormone receptor associated protein 3 [Source:HGNC Symbol;Acc:HGNC:22964]",TRUE,TRUE
"ENSG00000254553","ENSG00000254553","","protein_coding","novel transcript",FALSE,TRUE
"ENSG00000284653","ENSG00000284653","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000237749","ENSG00000237749","RPS27P9","processed_pseudogene","ribosomal protein S27 pseudogene 9 [Source:HGNC Symbol;Acc:HGNC:36964]",TRUE,FALSE
"ENSG00000276747","ENSG00000276747","PADI6","protein_coding","peptidyl arginine deiminase 6 [Source:HGNC Symbol;Acc:HGNC:20449]",TRUE,TRUE
"ENSG00000284705","ENSG00000284705","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000228776","ENSG00000228776","","processed_pseudogene","ribosomal protein L21 (RPL21) pseudogene",FALSE,FALSE
"ENSG00000159339","ENSG00000159339","PADI4","protein_coding","peptidyl arginine deiminase 4 [Source:HGNC Symbol;Acc:HGNC:18368]",TRUE,TRUE
"ENSG00000261781","ENSG00000261781","LINC01654","lncRNA","long intergenic non-protein coding RNA 1654 [Source:HGNC Symbol;Acc:HGNC:52442]",TRUE,FALSE
"ENSG00000284743","ENSG00000284743","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000158315","ENSG00000158315","RHBDL2","protein_coding","rhomboid like 2 [Source:HGNC Symbol;Acc:HGNC:16083]",TRUE,TRUE
"ENSG00000186973","ENSG00000186973","CFAP144","protein_coding","cilia and flagella associated protein 144 [Source:HGNC Symbol;Acc:HGNC:34347]",TRUE,TRUE
"ENSG00000146463","ENSG00000146463","ZMYM4","protein_coding","zinc finger MYM-type containing 4 [Source:HGNC Symbol;Acc:HGNC:13055]",TRUE,TRUE
"ENSG00000271741","ENSG00000271741","","protein_coding","novel transcript, ZMYM6-ZMYM6NB readthrough",FALSE,TRUE
"ENSG00000142686","ENSG00000142686","C1orf216","protein_coding","chromosome 1 open reading frame 216 [Source:HGNC Symbol;Acc:HGNC:26800]",TRUE,TRUE
"ENSG00000224751","ENSG00000224751","SHMT1P1","processed_pseudogene","SHMT1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:10851]",TRUE,FALSE
"ENSG00000117148","ENSG00000117148","ACTL8","protein_coding","actin like 8 [Source:HGNC Symbol;Acc:HGNC:24018]",TRUE,TRUE
"ENSG00000230585","ENSG00000230585","PHB1P12","processed_pseudogene","PHB1 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:39291]",TRUE,FALSE
"ENSG00000117000","ENSG00000117000","RLF","protein_coding","RLF zinc finger [Source:HGNC Symbol;Acc:HGNC:10025]",TRUE,TRUE
"ENSG00000284989","ENSG00000284989","","protein_coding","novel transcript",FALSE,TRUE
"ENSG00000231630","ENSG00000231630","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000092853","ENSG00000092853","CLSPN","protein_coding","claspin [Source:HGNC Symbol;Acc:HGNC:19715]",TRUE,TRUE
"ENSG00000255811","ENSG00000255811","","lncRNA","novel transcript, antisense to GJB4 and GJB3",FALSE,FALSE
"ENSG00000134697","ENSG00000134697","GNL2","protein_coding","G protein nucleolar 2 [Source:HGNC Symbol;Acc:HGNC:29925]",TRUE,TRUE
"ENSG00000187513","ENSG00000187513","GJA4","protein_coding","gap junction protein alpha 4 [Source:HGNC Symbol;Acc:HGNC:4278]",TRUE,TRUE
"ENSG00000230138","ENSG00000230138","LINC02812","lncRNA","long intergenic non-protein coding RNA 2812 [Source:HGNC Symbol;Acc:HGNC:54344]",TRUE,FALSE
"ENSG00000223390","ENSG00000223390","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000284720","ENSG00000284720","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000225671","ENSG00000225671","FCF1P6","processed_pseudogene","FCF1 pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:44618]",TRUE,FALSE
"ENSG00000116151","ENSG00000116151","MORN1","protein_coding","MORN repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:25852]",TRUE,TRUE
"ENSG00000006555","ENSG00000006555","TTC22","protein_coding","tetratricopeptide repeat domain 22 [Source:HGNC Symbol;Acc:HGNC:26067]",TRUE,TRUE
"ENSG00000236111","ENSG00000236111","RPL6P1","processed_pseudogene","ribosomal protein L6 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:35972]",TRUE,FALSE
"ENSG00000066056","ENSG00000066056","TIE1","protein_coding","tyrosine kinase with immunoglobulin like and EGF like domains 1 [Source:HGNC Symbol;Acc:HGNC:11809]",TRUE,TRUE
"ENSG00000214114","ENSG00000214114","MYCBP","protein_coding","MYC binding protein [Source:HGNC Symbol;Acc:HGNC:7554]",TRUE,TRUE
"ENSG00000116544","ENSG00000116544","DLGAP3","protein_coding","DLG associated protein 3 [Source:HGNC Symbol;Acc:HGNC:30368]",TRUE,TRUE
"ENSG00000231900","ENSG00000231900","GOT2P1","processed_pseudogene","GOT2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:4434]",TRUE,FALSE
"ENSG00000236723","ENSG00000236723","","lncRNA","novel transcript, antisense to CPT2",FALSE,FALSE
"ENSG00000232467","ENSG00000232467","TMA16P2","processed_pseudogene","translation machinery associated 16 homolog pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:43781]",TRUE,FALSE
"ENSG00000117016","ENSG00000117016","RIMS3","protein_coding","regulating synaptic membrane exocytosis 3 [Source:HGNC Symbol;Acc:HGNC:21292]",TRUE,TRUE
"ENSG00000169213","ENSG00000169213","RAB3B","protein_coding","RAB3B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9778]",TRUE,TRUE
"ENSG00000163866","ENSG00000163866","SMIM12","protein_coding","small integral membrane protein 12 [Source:HGNC Symbol;Acc:HGNC:25154]",TRUE,TRUE
"ENSG00000237130","ENSG00000237130","MRPS6P2","processed_pseudogene","mitochondrial ribosomal protein S6 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:29781]",TRUE,FALSE
"ENSG00000232335","ENSG00000232335","CLSPN-AS1","lncRNA","CLSPN antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40896]",TRUE,FALSE
"ENSG00000260971","ENSG00000260971","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000284696","ENSG00000284696","LINC02808","lncRNA","long intergenic non-protein coding RNA 2808 [Source:HGNC Symbol;Acc:HGNC:54340]",TRUE,FALSE
"ENSG00000238242","ENSG00000238242","LINC02778","lncRNA","long intergenic non-protein coding RNA 2778 [Source:HGNC Symbol;Acc:HGNC:54298]",TRUE,FALSE
"ENSG00000285839","ENSG00000285839","","protein_coding","novel transcript",FALSE,TRUE
"ENSG00000232762","ENSG00000232762","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000162384","ENSG00000162384","CZIB","protein_coding","CXXC motif containing zinc binding protein [Source:HGNC Symbol;Acc:HGNC:26059]",TRUE,TRUE
"ENSG00000162391","ENSG00000162391","FAM151A","protein_coding","family with sequence similarity 151 member A [Source:HGNC Symbol;Acc:HGNC:25032]",TRUE,TRUE
"ENSG00000117859","ENSG00000117859","OSBPL9","protein_coding","oxysterol binding protein like 9 [Source:HGNC Symbol;Acc:HGNC:16386]",TRUE,TRUE
"ENSG00000228121","ENSG00000228121","PHB1P3","processed_pseudogene","PHB1 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:8915]",TRUE,FALSE
"ENSG00000253313","ENSG00000253313","C1orf210","protein_coding","chromosome 1 open reading frame 210 [Source:HGNC Symbol;Acc:HGNC:28755]",TRUE,TRUE
"ENSG00000162396","ENSG00000162396","PARS2","protein_coding","prolyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:30563]",TRUE,TRUE
"ENSG00000284686","ENSG00000284686","","protein_coding","novel transcript",FALSE,TRUE
"ENSG00000162378","ENSG00000162378","ZYG11B","protein_coding","zyg-11 family member B, cell cycle regulator [Source:HGNC Symbol;Acc:HGNC:25820]",TRUE,TRUE
"ENSG00000233079","ENSG00000233079","LINC01755","lncRNA","long intergenic non-protein coding RNA 1755 [Source:HGNC Symbol;Acc:HGNC:52543]",TRUE,FALSE
"ENSG00000259818","ENSG00000259818","CZIB-DT","lncRNA","CZIB divergent transcript [Source:HGNC Symbol;Acc:HGNC:55408]",TRUE,FALSE
"ENSG00000229444","ENSG00000229444","ST3GAL3-AS1","lncRNA","ST3GAL3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40529]",TRUE,FALSE
"ENSG00000240563","ENSG00000240563","L1TD1","protein_coding","LINE1 type transposase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25595]",TRUE,TRUE
"ENSG00000234318","ENSG00000234318","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000284773","ENSG00000284773","","protein_coding","novel protein",FALSE,TRUE
