"ensembl_id_original","ensembl_id_clean","gene_symbol","gene_biotype","description","has_symbol","is_protein_coding"
"ENSG00000129472","ENSG00000129472","RAB2B","protein_coding","RAB2B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:20246]",TRUE,TRUE
"ENSG00000258481","ENSG00000258481","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000201097","ENSG00000201097","RNU6-366P","snRNA","RNA, U6 small nuclear 366, pseudogene [Source:HGNC Symbol;Acc:HGNC:47329]",TRUE,FALSE
"ENSG00000286630","ENSG00000286630","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000140090","ENSG00000140090","SLC24A4","protein_coding","solute carrier family 24 member 4 [Source:HGNC Symbol;Acc:HGNC:10978]",TRUE,TRUE
"ENSG00000100567","ENSG00000100567","PSMA3","protein_coding","proteasome 20S subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:9532]",TRUE,TRUE
"ENSG00000258682","ENSG00000258682","","lncRNA","novel transcript, sense overlapping PSMA3",FALSE,FALSE
"ENSG00000180189","ENSG00000180189","HMGB1P14","processed_pseudogene","high mobility group box 1 pseudogene 14 [Source:HGNC Symbol;Acc:HGNC:20014]",TRUE,FALSE
"ENSG00000279636","ENSG00000279636","LINC00216","lncRNA","long intergenic non-protein coding RNA 216 [Source:HGNC Symbol;Acc:HGNC:20191]",TRUE,FALSE
"ENSG00000252782","ENSG00000252782","RNU6-341P","snRNA","RNA, U6 small nuclear 341, pseudogene [Source:HGNC Symbol;Acc:HGNC:47304]",TRUE,FALSE
"ENSG00000032219","ENSG00000032219","ARID4A","protein_coding","AT-rich interaction domain 4A [Source:HGNC Symbol;Acc:HGNC:9885]",TRUE,TRUE
"ENSG00000258658","ENSG00000258658","TOMM20L-DT","lncRNA","TOMM20L divergent transcript [Source:HGNC Symbol;Acc:HGNC:55443]",TRUE,FALSE
"ENSG00000196860","ENSG00000196860","TOMM20L","protein_coding","translocase of outer mitochondrial membrane 20 like [Source:HGNC Symbol;Acc:HGNC:33752]",TRUE,TRUE
"ENSG00000258378","ENSG00000258378","","lncRNA","novel transcript, antisense to TIMM9",FALSE,FALSE
"ENSG00000100575","ENSG00000100575","TIMM9","protein_coding","translocase of inner mitochondrial membrane 9 [Source:HGNC Symbol;Acc:HGNC:11819]",TRUE,TRUE
"ENSG00000100578","ENSG00000100578","KIAA0586","protein_coding","KIAA0586 [Source:HGNC Symbol;Acc:HGNC:19960]",TRUE,TRUE
"ENSG00000252198","ENSG00000252198","","misc_RNA","Y RNA [Source:RFAM;Acc:RF00019]",FALSE,FALSE
"ENSG00000258650","ENSG00000258650","HSBP1P1","processed_pseudogene","heat shock factor binding protein 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:20053]",TRUE,FALSE
"ENSG00000258900","ENSG00000258900","HNRNPCP1","processed_pseudogene","heterogeneous nuclear ribonucleoprotein C pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:20017]",TRUE,FALSE
"ENSG00000239510","ENSG00000239510","RPL9P5","processed_pseudogene","ribosomal protein L9 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:23557]",TRUE,FALSE
"ENSG00000184601","ENSG00000184601","C14orf180","protein_coding","chromosome 14 open reading frame 180 [Source:HGNC Symbol;Acc:HGNC:33795]",TRUE,TRUE
"ENSG00000100711","ENSG00000100711","ZFYVE21","protein_coding","zinc finger FYVE-type containing 21 [Source:HGNC Symbol;Acc:HGNC:20760]",TRUE,TRUE
"ENSG00000165782","ENSG00000165782","PIP4P1","protein_coding","phosphatidylinositol-4,5-bisphosphate 4-phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:19299]",TRUE,TRUE
"ENSG00000140153","ENSG00000140153","WDR20","protein_coding","WD repeat domain 20 [Source:HGNC Symbol;Acc:HGNC:19667]",TRUE,TRUE
"ENSG00000100592","ENSG00000100592","DAAM1","protein_coding","dishevelled associated activator of morphogenesis 1 [Source:HGNC Symbol;Acc:HGNC:18142]",TRUE,TRUE
"ENSG00000100557","ENSG00000100557","CCDC198","protein_coding","coiled-coil domain containing 198 [Source:HGNC Symbol;Acc:HGNC:20189]",TRUE,TRUE
"ENSG00000171723","ENSG00000171723","GPHN","protein_coding","gephyrin [Source:HGNC Symbol;Acc:HGNC:15465]",TRUE,TRUE
"ENSG00000165792","ENSG00000165792","METTL17","protein_coding","methyltransferase like 17 [Source:HGNC Symbol;Acc:HGNC:19280]",TRUE,TRUE
"ENSG00000133937","ENSG00000133937","GSC","protein_coding","goosecoid homeobox [Source:HGNC Symbol;Acc:HGNC:4612]",TRUE,TRUE
"ENSG00000256737","ENSG00000256737","RBBP4P5","processed_pseudogene","RBBP4 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:42372]",TRUE,FALSE
"ENSG00000256081","ENSG00000256081","","processed_pseudogene","ARP3 actin-related protein 3 homolog (yeast) (ACTR3) pseudogene",FALSE,FALSE
"ENSG00000273586","ENSG00000273586","OR10G1P","unprocessed_pseudogene","olfactory receptor family 10 subfamily G member 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:8169]",TRUE,FALSE
"ENSG00000256385","ENSG00000256385","UBE2NP1","processed_pseudogene","ubiquitin conjugating enzyme E2 N pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:20337]",TRUE,FALSE
"ENSG00000255569","ENSG00000255569","TRAV1-1","TR_V_gene","T cell receptor alpha variable 1-1 [Source:HGNC Symbol;Acc:HGNC:12101]",TRUE,FALSE
"ENSG00000255582","ENSG00000255582","OR10G2","protein_coding","olfactory receptor family 10 subfamily G member 2 [Source:HGNC Symbol;Acc:HGNC:8170]",TRUE,TRUE
"ENSG00000256553","ENSG00000256553","TRAV1-2","TR_V_gene","T cell receptor alpha variable 1-2 [Source:HGNC Symbol;Acc:HGNC:12102]",TRUE,FALSE
"ENSG00000255664","ENSG00000255664","ARL6IP1P1","processed_pseudogene","ARF like GTPase 6 interacting protein 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:23178]",TRUE,FALSE
"ENSG00000256350","ENSG00000256350","","unprocessed_pseudogene","pseudogene similar to part of anoctamin 10 (ANO10)",FALSE,FALSE
"ENSG00000211776","ENSG00000211776","TRAV2","TR_V_gene","T cell receptor alpha variable 2 [Source:HGNC Symbol;Acc:HGNC:12116]",TRUE,FALSE
"ENSG00000248358","ENSG00000248358","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000211777","ENSG00000211777","TRAV3","TR_V_gene","T cell receptor alpha variable 3 [Source:HGNC Symbol;Acc:HGNC:12128]",TRUE,FALSE
